fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	data_sample_strategy	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	feature_fraction_bynode	max_depth	top_rate	other_rate	estimulos	ganancia	iteracion_bayesiana
20231126 184748	554	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	76	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.109716210897896	0.265545026702312	587	12484	0.643408450216157	29	0.390197913868178	0.571647320750344	3288	331824319.84008	1
20231126 185701	554	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	69	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.14012723218475	0.545754919680039	476	21356	0.782682803372954	24	0.222400061589724	0.288600623745879	3282	331848548.725637	2
20231126 192131	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	610	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.109716210897896	0.265545026702312	587	12484	0.643408450216157	29	0.390197913868178	0.571647320750344	11348	155249897.051474	1
20231126 193517	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	392	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.14012723218475	0.545754919680039	476	21356	0.782682803372954	24	0.222400061589724	0.288600623745879	11280	158381069.465267	2
20231126 195153	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	774	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.105175588536658	0.735480249676621	558	27958	0.174854305981935	33	0.429075119529443	0.0622897977809771	11769	154571022.988506	3
20231126 201116	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	809	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0834496955637587	0.933594090067199	665	26491	0.371748498971865	16	0.365990952333959	0.601272173589678	12295	155104135.432284	4
20231126 202448	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	336	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.130421361232293	0.49306090720107	493	38291	0.585231992337867	3	0.541348689701408	0.314402947820781	11400	156003238.38081	5
20231126 202717	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	197	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.2796632586958	0.905368087851748	394	19836	0.904699504153468	22	0.0835533801146084	0.0172464426213992	13106	144768164.917541	6
20231126 203502	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	73	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0438883557583904	0.254275627002207	79	1676	0.661724432219271	9	0.52691919341305	0.119956374932372	14707	153543733.633183	7
20231126 204508	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	705	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0689755507765221	0.044324449350388	25	29769	0.402971288221088	46	0.0593695015413687	0.777547036399483	14359	142985410.794603	8
20231126 205230	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	92	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.172782162386575	0.318061876107749	290	43714	0.526480993438672	49	0.694050046055054	0.188571542174031	12731	153901730.634683	9
20231126 210318	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	86	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.245007508787967	0.580357992324934	307	5097	0.461756999662975	21	0.720510469276633	0.091068733127031	12089	152841627.686157	10
20231126 210858	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	83	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0565990422916366	0.516900578955756	772	13599	0.612682480222938	41	0.135882994094572	0.156373279372929	12569	153380638.18091	11
20231126 213230	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	872	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.15634678490198	0.995867064489794	142	8302	0.0450198693625134	14	0.275716804295371	0.714283440065628	12570	147855077.461269	12
20231126 213734	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	128	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.299883310380683	0.0770951306349889	839	22163	0.215563867837045	39	0.29155230523611	0.149898434756324	16553	136798705.147426	13
20231126 214749	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	248	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.232722470146255	0.637624815307499	1020	1444	0.80151036222007	6	0.119559262282564	0.226566289442417	11756	134761453.273363	14
20231126 220036	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	312	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0257181826731539	0.615513090399982	947	43850	0.334959988698247	36	0.164945539116161	0.830457485069928	13792	154026194.902549	15
20231126 220615	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	384	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.166373086580425	0.134564244413559	225	36399	0.727865315354866	12	0.0171028939585085	0.267715063593641	11661	149781315.842079	16
20231126 221252	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.151188188168453	0.547852191857528	278	3204	0.936830070471187	11	0.264862025112961	0.140377436662675	14575	142373300.849575	17
20231126 222941	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	619	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0234135336743202	0.24932174101632	876	8950	0.0395982064786949	36	0.450506972076255	0.477096185553819	12168	146630976.511744	18
