fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231127 162900	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	453	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0885101727151778	0.297409047270048	617	23962	11874	149968496.751624	1
20231127 163226	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	68	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0933363504387671	0.488722075060359	360	18408	14788	144837843.078461	2
20231127 163623	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	361	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.217326173746842	0.253432601209643	508	48763	12299	150364831.084458	3
20231127 164009	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	34	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.132904717026395	0.599434182006662	198	15026	12716	142291088.455772	4
20231127 164306	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	55	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.272203997038887	0.863055809261277	675	41051	13299	146861262.868566	5
20231127 164550	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	47	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.107606871851021	0.360473641538265	568	40200	11494	143148236.881559	6
20231127 165132	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	111	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.233005632024142	0.563426857854356	718	9507	11370	146068170.914543	7
20231127 165807	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	231	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.184744682681048	0.755653283642314	932	30286	12290	150869170.414793	8
20231127 170439	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	476	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0529066836758284	0.747310824762826	117	33972	13465	153884470.264868	9
20231127 171044	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	127	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0226976562611526	0.395138566496025	439	8654	13028	146006678.66067	10
20231127 171310	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	197	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.201504896614351	0.0278880713127728	48	3616	13889	132951272.863568	11
20231127 171817	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	616	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.283602802478708	0.131638968705811	976	20631	10901	144763004.997501	12
20231127 172428	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	699	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.060794945663074	0.675542781198892	787	45222	12706	155365906.046977	13
20231127 172817	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	256	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.263095895088045	0.927322228727135	302	25233	12623	141833702.648676	14
20231127 174131	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	844	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.15812888589513	0.998201644593209	889	1883	15592	137556289.855072	15
20231127 174350	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	78	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.166503182958113	0.174421622675873	255	36922	12083	142929424.787606	16
20231127 174845	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	435	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0438578171133567	0.715626338699815	548	42425	11782	150784190.904548	17
20231127 175300	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	229	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0203923748015642	0.777431366148232	797	47333	14844	146123184.407796	18
20231127 175708	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	349	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.107054066858197	0.651541158794328	661	44643	13103	150660629.185407	19
20231127 180016	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	43	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.115336368795211	0.682514407385141	932	34855	14769	147034811.094453	20
20231127 180628	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	575	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0689496404103264	0.665844226783706	629	45662	12468	154265909.045477	21
20231127 181435	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1120	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0540459311267624	0.653364790210001	799	49898	12310	152528670.664668	22
20231127 182250	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	813	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0648822207050747	0.687425981190925	766	27906	12926	152200478.76062	23
