fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231127 172813	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	153	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0885101727151778	0.297409047270048	617	23962	13492	154028643.678161	1
20231127 174200	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	389	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0933363504387671	0.488722075060359	360	18408	10865	155271176.911544	2
20231127 175041	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	331	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.217326173746842	0.253432601209643	508	48763	12670	152108320.83958	3
20231127 175811	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	18	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.132904717026395	0.599434182006662	198	15026	12645	146549267.866067	4
20231127 180427	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	75	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.272203997038887	0.863055809261277	675	41051	12354	152632064.967516	5
20231127 181129	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	72	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.107606871851021	0.360473641538265	568	40200	11221	153273829.585207	6
20231127 182247	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	192	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.233005632024142	0.563426857854356	718	9507	11391	146305558.72064	7
20231127 182854	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	31	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.184744682681048	0.755653283642314	932	30286	11972	152197519.24038	8
20231127 183654	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	130	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0529066836758284	0.747310824762826	117	33972	13799	154606320.33983	9
20231127 184955	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	226	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0226976562611526	0.395138566496025	439	8654	13552	157650242.878561	10
20231127 185501	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	194	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.201504896614351	0.0278880713127728	48	3616	13547	136740375.312344	11
20231127 190431	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	476	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.283602802478708	0.131638968705811	976	20631	12603	143119029.985007	12
