fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231127 204302	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	125	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.169811487286535	0.397915886521137	634	24723	12248	147242750.624688	1
20231127 205043	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	143	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0948492188905686	0.640148611953258	659	43000	12355	154772991.004498	2
20231127 205746	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	99	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.233881987904886	0.32836866774714	376	21460	14916	144060363.818091	3
20231127 210402	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	26	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.290274980020406	0.829689002075538	746	26913	11668	147669467.266367	4
20231127 211155	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	278	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.225431213676858	0.222720020637385	246	1070	14143	114486056.471764	5
20231127 212659	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	492	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0445050762033918	0.522881839870981	502	37029	11514	154768936.531734	6
20231127 213318	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	57	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.207964302437397	0.706465282228113	965	39863	13316	151394656.671664	7
20231127 214530	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	249	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.149725127212663	0.587839939158458	429	11057	15064	140031260.369815	8
20231127 215057	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	81	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.129802947207706	0.160067345259509	89	16049	12970	149869930.034983	9
20231127 215659	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	247	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.186785442512802	0.0786984457535207	298	46323	14323	141043027.986007	10
